pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_insol,pl_orbsmax,pl_dens,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
Kepler-729 b,Kepler-729,Transit,2016,3.166353714,3.58,12.5,1273.0,1089.549,0.0432,1.5,5633.0,0.91,0.94,1921.15,1,1
Kepler-687 b,Kepler-687,Transit,2016,20.50586978,3.52,12.2,518.0,15.648,0.1326,1.54,4841.0,0.73,0.77,633.66,1,1
Kepler-1115 b,Kepler-1115,Transit,2016,23.5540725,1.7,3.53,1381.0,516.101,0.2134,3.95,8480.0,1.73,1.6,983.245,1,1
Kepler-1073 b,Kepler-1073,Transit,2016,8.67888593,2.3,5.9,905.0,128.55,0.0805,2.66,5792.0,1.0,1.0,809.897,3,1
Kepler-899 b,Kepler-899,Transit,2016,19.17891293,2.68,7.65,640.0,62.198,0.1392,2.18,5595.0,0.91,0.93,1246.43,1,1
Kepler-1255 b,Kepler-1255,Transit,2016,36.2919336,2.32,5.99,694.0,39.671,0.2226,2.64,6018.0,1.12,1.08,1617.07,1,1
K2-55 b,K2-55,Transit,2016,2.849258,3.82,14.0,912.0,115.0,0.03486,1.38,4456.0,0.63,0.696,159.522,1,1
Kepler-1447 b,Kepler-1447,Transit,2016,56.6747285,2.9,8.75,522.0,10.349,0.2836,1.97,5722.0,0.95,0.97,890.296,1,1
K2-108 b,K2-108,Transit,2017,4.733999,5.33,59.4,1360.0,762.0,0.0581,2.22,5599.0,1.76,1.17,477.295,1,1
TOI-220 b,TOI-220,Transit,2021,10.695264,3.03,13.8,805.0,66.8553,0.08911,2.73,5298.0,0.858,0.825,90.7402,1,1
HD 23472 d,HD 23472,Transit,2022,3.97664,0.75,0.55,909.0,117.0,0.04298,7.5,4684.0,0.71,0.67,39.0341,5,1
TOI-5726.01,TOI-5726,Transit,2024,5.491125215,2.554,7.05,1093.03,338.95,0.062186,2.33,5874.0,1.106,1.06,108.848,1,1
TOI-2285 b,TOI-2285,Transit,2021,13.635109,1.77,19.5,358.0,3.91,0.1363,NaN,3491.0,0.464,0.454,42.409,1,1
Kepler-659 b,Kepler-659,Transit,2016,17.671796,2.5,6.8,513.0,21.309,0.1204,2.39,4870.0,0.74,0.79,722.64,1,1
Kepler-903 b,Kepler-903,Transit,2016,10.3507721,2.01,4.7,842.0,274.845,0.09081,3.18,5682.0,0.97,0.98,1369.24,2,1
TOI-411 c,HD 22946,Transit,2022,9.573083,2.328,9.72,931.0,156.75,0.1017,3.15,6169.0,1.117,1.098,62.7792,3,1
Kepler-1118 b,Kepler-1118,Transit,2016,38.6715075,2.74,7.95,502.0,20.011,0.2079,2.12,5688.0,0.97,0.96,888.325,1,1
Kepler-620 b,Kepler-620,Transit,2016,12.91375431,3.32,11.0,849.0,219.051,0.1053,1.65,6155.0,1.22,1.15,1355.28,1,1
HAT-P-51 b,HAT-P-51,Transit,2015,4.21802091,13.50682174,97.57332095,1168.2,310.0,0.05042,0.218,5453.0,0.995,0.961,440.089,1,1
Kepler-1755 b,Kepler-1755,Transit,2021,24.81209946,5.91688317,29.4,631.0,37.43,0.1668,0.78,6086.0,0.921,1.003,982.383,1,1
Kepler-664 b,Kepler-664,Transit,2016,2.525593315,2.66,7.56,1406.0,652.435,0.0374,2.21,5754.0,1.02,1.01,1210.12,1,1
Kepler-1123 b,Kepler-1123,Transit,2016,4.33946454,1.67,3.43,1061.0,190.016,0.0497,4.05,5500.0,0.9,0.93,704.323,1,1
Kepler-1098 b,Kepler-1098,Transit,2016,2.543072855,1.3,2.24,1319.0,995.67,0.0358,5.6,5794.0,0.99,0.99,1049.19,1,1
Kepler-1084 b,Kepler-1084,Transit,2016,2.05333679,1.11,1.41,1737.0,1766.593,0.0324,5.67,6113.0,1.28,1.12,405.533,1,1
Kepler-520 b,Kepler-520,Transit,2016,19.67416124,1.66,3.39,711.0,59.77,0.14628,4.07,6112.0,1.09,1.1,623.901,2,1
Kepler-1895 b,Kepler-1895,Transit,2021,6.070290089,2.11934728,5.14,789.0,91.45,0.0615,2.97,5076.0,0.763,0.86,984.187,1,1
Kepler-1669 b,Kepler-1669,Transit,2020,9.51216,2.78043818,8.15,530.0,18.66,0.0745,2.08,4303.0,0.714145,0.67,543.444,3,1
Kepler-351 d,Kepler-351,Transit,2016,142.544247,2.72,7.85,318.0,1.989,0.5177,2.14,5225.0,0.78,0.81,1083.91,3,1
Kepler-1373 b,Kepler-1373,Transit,2016,1.29123275,1.16,1.65,1887.0,8385.9,0.02598,5.81,6299.0,1.33,1.22,1699.46,1,1
Kepler-1104 b,Kepler-1104,Transit,2016,5.03728015,1.23,2.04,1321.0,813.524,0.06321,6.02,6417.0,1.41,1.3,530.658,1,1
Kepler-452 b,Kepler-452,Transit,2015,384.843,1.63,3.29,265.0,1.1,1.046,4.17,5757.0,1.11,1.037,551.727,1,1
Kepler-1499 b,Kepler-1499,Transit,2016,44.2008,1.19,1.81,409.0,7.371,0.23225,5.9,5097.0,0.78,0.82,309.869,1,1
Kepler-1735 b,Kepler-1735,Transit,2021,7.71792984,1.19429134,1.84,502.0,15.01,0.0621,5.94,3975.0,0.509,0.535,245.303,1,1
TRAPPIST-1 b,TRAPPIST-1,Transit,2016,1.510826,1.116,1.374,397.6,4.153,0.01154,5.441939,2566.0,0.1192,0.0898,12.42988881,7,1
TRAPPIST-1 c,TRAPPIST-1,Transit,2016,2.421937,1.097,1.308,339.7,2.214,0.0158,5.463993,2566.0,0.1192,0.0898,12.42988881,7,1
TRAPPIST-1 d,TRAPPIST-1,Transit,2016,4.049219,0.788,0.388,286.2,1.115,0.02227,4.366784,2566.0,0.1192,0.0898,12.42988881,7,1
WASP-121 b,WASP-121,Transit,2016,1.27492504,19.64934317,367.7274669,2720.0,6216.41,0.02596,0.266,6776.0,1.458,1.358,269.898,1,1
HIP 41378 b,HIP 41378,Transit,2016,15.572098,2.44317,6.54,912.0,115.206,,2.46,6226.0,1.343,1.168,106.289,5,1
HIP 41378 c,HIP 41378,Transit,2016,31.70648,2.56,7.08,696.5,55.6175,,2.32,6226.0,1.343,1.168,106.289,5,1
