hostname,sy_dist,total_planets,st_teff,st_rad,st_mass,potentially_habitable
AU Mic,9.7221,2,3678.0,0.744,0.51,0
BD-14 3065 A,589.423,1,6935.0,2.35,1.41,0
Barnard's star,1.82655,1,3195.0,0.185,0.162,0
CD Cet,8.60715,1,3130.0,0.175,0.161,0
CoRoT-32,576.683,1,5970.0,0.79,1.08,0
DS Tuc A,44.0622,1,5428.0,0.964,1.01,0
EPIC 201595106,232.1,2,5679.0,0.98,0.958,0
EPIC 211822797,186.197,1,4057.0,0.58,0.62,0
EPIC 211945201,181.69,1,6069.0,1.39,1.17,0
EPIC 220674823,244.59,2,5578.0,0.99,0.913,0
EPIC 229004835,121.971,1,5868.0,0.999,0.97,0
EPIC 246851721,372.632,1,6202.0,1.586,1.317,0
EPIC 248847494,551.886,1,4898.0,2.7,0.9,0
EPIC 249893012,321.296,3,5430.0,1.71,1.05,0
G 192-15,9.53114,2,2999.0,0.170718,0.132,0
G 261-6,10.6267,1,2907.0,0.153162,0.118,1
G 264-012,16.009,2,3326.0,0.305,0.297,0
G 268-110,,1,,0.177,0.137,0
G 9-40,27.9276,1,3395.0,0.3026,0.2952,0
GJ 1002,4.84867,2,3024.0,0.137,0.12,0
GJ 1132,12.613,1,3229.0,0.2211,0.1945,0
GJ 1252,20.373,1,3458.0,0.391,0.381,0
GJ 143,16.32,2,4640.0,0.695,0.73,0
GJ 238,15.2142,1,3485.0,0.4314,0.4193,0
GJ 251,5.58057,1,3451.0,0.364,0.36,0
GJ 3090,22.4751,1,3556.0,0.516,0.519,0
GJ 341,10.454,1,3770.0,0.5066,0.48,0
GJ 3473,27.3644,2,3347.0,0.364,0.36,0
GJ 357,9.44181,3,3505.0,0.337,0.342,0
GJ 367,9.41263,1,3522.0,0.458,0.455,0
GJ 3929,15.8095,2,3384.0,0.32,0.313,1
GJ 393,7.03149,1,3579.0,0.426,0.426,0
GJ 3988,9.9105,1,3273.0,0.19734,0.1842,0
GJ 411,5.675773,1,3719.0,0.3685,0.3899,0
GJ 486,8.07426,1,3317.0,0.3243,0.312,0
GJ 514,7.61778,1,3728.0,0.5,0.51,0
GJ 724,16.9658,1,3799.0,0.52226,0.5271,0
GJ 740,11.1017,1,3913.0,0.56,0.58,0
